model_name,tag,split,device,commit,attack,eps,eps255,defense,params,acc_clean,clean_def_acc,clean_penalty,acc_adv,acc_def,drop,recovery,time_ms_per_img,iters,step255,restarts,subset_n,query_budget,queries_per_img,median_l2,mean_l2,notes,run_id
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,none,{},0.7827,0.7827,0.0,0.5278,0.5278,0.2548999999999999,0.0,0.23739667500049108,,,,,,,,,loaded; baseline-no-defense,1766641763-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7153,-0.0673999999999999,0.5278,0.5158,0.2548999999999999,-0.04707728520988629,4.436468066599628,,,,,,,,,loaded,1766641763-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,none,{},0.7827,0.7827,0.0,0.42,0.42,0.36269999999999997,0.0,0.24235046670073646,,,,,,,,,loaded; baseline-no-defense,1766641763-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7153,-0.0673999999999999,0.42,0.4259,0.36269999999999997,0.016266887234629216,4.461825504200533,,,,,,,,,loaded,1766641763-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,none,{},0.7827,0.7827,0.0,0.6597,0.6597,0.123,0.0,0.24341119999880903,,,,,,,,,loaded; baseline-no-defense,1766642055-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.015686,4,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7123,-0.07039999999999991,0.6597,0.6138,0.123,-0.37317073170731657,0.24470001250010684,,,,,,,,,loaded,1766642055-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,none,{},0.7827,0.7827,0.0,0.5278,0.5278,0.2548999999999999,0.0,0.2415978749995702,,,,,,,,,loaded; baseline-no-defense,1766642055-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.031373,8,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7123,-0.07039999999999991,0.5278,0.5172,0.2548999999999999,-0.04158493526873306,0.2424103750003269,,,,,,,,,loaded,1766642055-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,none,{},0.7827,0.7827,0.0,0.42,0.42,0.36269999999999997,0.0,0.2421647541996208,,,,,,,,,loaded; baseline-no-defense,1766642055-34ede61
ResNet18_PGDAT,at,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,fgsm,0.047059,12,opening,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.7827,0.7123,-0.07039999999999991,0.42,0.4334,0.36269999999999997,0.03694513371932733,0.24278802079934392,,,,,,,,,loaded,1766642055-34ede61
