model_name,tag,split,device,commit,attack,eps,eps255,defense,params,acc_clean,clean_def_acc,clean_penalty,acc_adv,acc_def,drop,recovery,time_ms_per_img,iters,step255,restarts,subset_n,query_budget,queries_per_img,median_l2,mean_l2,notes,run_id
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.031373,8,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.0,0.4636,0.9346,0.4960410870960839,0.23057521669979905,20,2.0,1,,,,,,loaded,1766638558-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.047059,12,none,{},0.9346,0.9346,0.0,0.0,0.0,0.9346,0.0,0.22809731659945098,20,2.0,1,,,,,,loaded; baseline-no-defense,1766638558-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,pgd20,0.047059,12,sobel,"{""k"": null, ""sigma"": null, ""mode"": ""per_channel""}",0.9346,0.6002,-0.33440000000000003,0.0,0.4316,0.9346,0.4618018403595121,0.23104547499970068,20,2.0,1,,,,,,loaded,1766638558-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,none,{},0.9346,0.9346,0.0,0.6094,0.6094,0.32519999999999993,0.0,0.2279851499988581,,,,,,,,,loaded; baseline-no-defense,1766638870-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,none,{},0.9346,0.9346,0.0,0.2663,0.2663,0.6683,0.0,0.2291585250000935,,,,,,,,,loaded; baseline-no-defense,1766638870-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,none,{},0.9346,0.9346,0.0,0.0989,0.0989,0.8357,0.0,0.22990964589989743,,,,,,,,,loaded; baseline-no-defense,1766638870-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,none,{},0.9346,0.9346,0.0,0.6094,0.6094,0.32519999999999993,0.0,0.22798081660002933,,,,,,,,,loaded; baseline-no-defense,1766638895-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.015686,4,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.6094,0.7671,0.32519999999999993,0.48493234932349316,4.340546312500374,,,,,,,,,loaded,1766638895-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,none,{},0.9346,0.9346,0.0,0.2663,0.2663,0.6683,0.0,0.2296463999999105,,,,,,,,,loaded; baseline-no-defense,1766638895-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.031373,8,median,"{""k"": 3, ""sigma"": null, ""mode"": null}",0.9346,0.8075,-0.1271,0.2663,0.722,0.6683,0.6818793954810713,4.342164166599105,,,,,,,,,loaded,1766638895-34ede61
ResNet18_STD,std,test,mps,34ede61a8543d2ad0fcff3f35a54ea7b4768e37d,square,0.047059,12,none,{},0.9346,0.9346,0.0,0.0989,0.0989,0.8357,0.0,0.22997219160024543,,,,,,,,,loaded; baseline-no-defense,1766638895-34ede61
